date,name,value
2020-12-04,nanyuki,1
2020-12-04,langata,1
2020-12-04,kondele,1
2020-12-04,kiserian,1
2020-12-04,dagoretti corner,1
2020-12-04,kitui,4
2020-12-04,embu,1
2020-12-04,kileleshwa,6
2020-12-04,tassia,6
2020-12-04,ruiru,30
2020-12-04,pipeline,2
2020-12-04,kahawa west,1
2020-12-04,kikuyu,5
2020-12-04,wangige,5
2020-12-04,runyenjes,1
2020-12-04,imara daima,4
2020-12-04,ongata rongai,1
2020-12-04,eldoret,2
2020-12-04,lodwar,1
2020-12-04,nakuru,7
2020-12-04,kahawa wendani,2
2020-12-04,rosslyn,3
2020-12-04,buru,1
2020-12-04,meru,1
2020-12-04,roysambu,2
2020-12-04,kakamega,1
2020-12-04,bomet,1
2020-12-04,uthiru,6
2020-12-04,riruta,3
2020-12-04,membley,2
2020-12-04,thogoto,2
2020-12-04,vihiga,4
2020-12-04,ukunda,3
2020-12-04,juja,22
2020-12-04,parklands,1
2020-12-04,ruai,1
2020-12-04,webuye,1
2020-12-04,nyayo estate,3
2020-12-04,isiolo,1
2020-12-04,utawala,3
2020-12-04,donholm,4
2020-12-04,nyeri,1
2020-12-04,kirigiti,3
2020-12-04,trm,1
2020-12-04,ngong town,2
2020-12-04,ruaka,69
2020-12-04,ngong,43
2020-12-04,muthiga,4
2020-12-04,highrise,1
2020-12-04,nyamira,4
2020-12-04,zimmerman,2
2020-12-04,buruburu,1
2020-12-04,muchatha,2
2020-12-04,kasarani,66
2020-12-04,south b,2
2020-12-04,loresho,1
2020-12-04,buruburu phase 1,2
2020-12-04,kabati,1
2020-12-04,kilimani,2
2020-12-04,ngara,2
2020-12-04,kangemi,12
2020-12-04,kenol,3
2020-12-04,ndenderu,2
2020-12-04,shanzu,1
2020-12-04,kajiado,1
2020-12-04,garissa,2
2020-12-04,karen,5
2020-12-04,kericho,1
2020-12-04,limuru,4
2020-12-04,lavington,6
2020-12-04,riverside,6
2020-12-04,naivasha,11
2020-12-04,fedha,3
2020-12-04,githunguri,2
2020-12-04,gikambura,2
2020-12-04,manyatta,1
2020-12-04,gachie,5
2020-12-04,gatundu,1
2020-12-04,nyali,7
2020-12-04,south c,7
2020-12-04,kabiria,2
2020-12-04,waithaka,3
2020-12-04,komarock,7
2020-12-04,lucky summer,17
2020-12-04,kisii,6
2020-12-04,mtwapa,5
2020-12-04,joyland,4
2020-12-04,umoja 1,1
2020-12-04,kayole,9
2020-12-04,migori,4
2020-12-04,stage mpya,2
2020-12-04,bamburi,2
2020-12-04,rongai,5
2020-12-04,kitengela,8
2020-12-04,kawangware,1
2020-12-04,syokimau,4
2020-12-04,athiriver,1
2020-12-04,siaya,5
2020-12-05,roysambu,3
2020-12-05,buruburu,3
2020-12-05,mwimuto,2
2020-12-05,githunguri,2
2020-12-05,kisii,11
2020-12-05,nyeri,3
2020-12-05,ngong,57
2020-12-05,kitui,5
2020-12-05,kiserian,1
2020-12-05,watamu,1
2020-12-05,eastleigh,1
2020-12-05,embu,2
2020-12-05,south b,2
2020-12-05,kabati,1
2020-12-05,meru,1
2020-12-05,madaraka,12
2020-12-05,athi river,1
2020-12-05,lavington,8
2020-12-05,mishomoroni,2
2020-12-05,kericho,1
2020-12-05,githurai 45,5
2020-12-05,canaan estate,1
2020-12-05,machakos,11
